id,review,sentiment,label
470,Poor quality and customer service was unhelpful. Never buying again.,0,Negative
471,"Cheap materials, bad design. Would not recommend to anyone.",0,Negative
472,Satisfactory. Meets the basic requirements.,1,Neutral
473,Product arrived on time. Quality is acceptable.,1,Neutral
474,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
475,Product arrived on time. Quality is acceptable.,1,Neutral
476,Love it! Perfect for my needs. Will order more soon.,2,Positive
477,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
478,Satisfactory. Meets the basic requirements.,1,Neutral
479,Best purchase I made this year. Highly recommend to everyone.,2,Positive
480,Average quality. Expected more for the price but it works.,1,Neutral
481,Best purchase I made this year. Highly recommend to everyone.,2,Positive
482,Outstanding customer service and the product is amazing.,2,Positive
483,Decent product. Shipping was fine. Nothing to complain about.,1,Neutral
484,Terrible product! Broke after one day of use. Complete waste of money.,0,Negative
485,Complete garbage. Stopped working after a week. Total scam.,0,Negative
486,"Brilliant product, delivered quickly, exactly as described.",2,Positive
487,Average experience overall. Product is usable but not impressive.,1,Neutral
488,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
489,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
490,Incredible product! Far better than I expected. Five stars!,2,Positive
491,Fine product. Does what it is supposed to. No issues.,1,Neutral
492,Love it! Perfect for my needs. Will order more soon.,2,Positive
493,Average quality. Expected more for the price but it works.,1,Neutral
494,Absolutely love this product! Works perfectly and exceeded my expectations.,2,Positive
495,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
496,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
497,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
498,Total disappointment. Save your money and buy from someone else.,0,Negative
499,Absolutely love this product! Works perfectly and exceeded my expectations.,2,Positive
500,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
501,Absolutely love this product! Works perfectly and exceeded my expectations.,2,Positive
502,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
503,Love it! Perfect for my needs. Will order more soon.,2,Positive
504,Decent product. Shipping was fine. Nothing to complain about.,1,Neutral
505,Incredible product! Far better than I expected. Five stars!,2,Positive
506,Love it! Perfect for my needs. Will order more soon.,2,Positive
507,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
508,"Okay product, reasonable price. Would not go out of my way to recommend.",1,Neutral
509,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
510,"Great quality, fast delivery. Will definitely buy again!",2,Positive
511,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
512,Average experience overall. Product is usable but not impressive.,1,Neutral
513,"Okay product, reasonable price. Would not go out of my way to recommend.",1,Neutral
514,Absolutely love this product! Works perfectly and exceeded my expectations.,2,Positive
515,Average quality. Expected more for the price but it works.,1,Neutral
516,Product arrived on time. Quality is acceptable.,1,Neutral
517,Average quality. Expected more for the price but it works.,1,Neutral
518,Fine product. Does what it is supposed to. No issues.,1,Neutral
519,Returned immediately. Completely useless and overpriced.,0,Negative
520,"Okay product, reasonable price. Would not go out of my way to recommend.",1,Neutral
521,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
522,Super happy with my order. Everything arrived on time and works great.,2,Positive
523,Love it! Perfect for my needs. Will order more soon.,2,Positive
524,Love it! Perfect for my needs. Will order more soon.,2,Positive
525,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
526,Fine product. Does what it is supposed to. No issues.,1,Neutral
527,Complete garbage. Stopped working after a week. Total scam.,0,Negative
528,Average experience overall. Product is usable but not impressive.,1,Neutral
529,Terrible product! Broke after one day of use. Complete waste of money.,0,Negative
530,"Brilliant product, delivered quickly, exactly as described.",2,Positive
531,Poor quality and customer service was unhelpful. Never buying again.,0,Negative
532,Fine product. Does what it is supposed to. No issues.,1,Neutral
533,Returned immediately. Completely useless and overpriced.,0,Negative
534,Average quality. Expected more for the price but it works.,1,Neutral
535,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
536,Average quality. Expected more for the price but it works.,1,Neutral
537,Outstanding customer service and the product is amazing.,2,Positive
538,Product arrived on time. Quality is acceptable.,1,Neutral
539,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
540,Average experience overall. Product is usable but not impressive.,1,Neutral
541,It is alright. Does what it says. Not amazing but not bad.,1,Neutral
542,Fine product. Does what it is supposed to. No issues.,1,Neutral
543,"Cheap materials, bad design. Would not recommend to anyone.",0,Negative
544,Total disappointment. Save your money and buy from someone else.,0,Negative
545,Outstanding customer service and the product is amazing.,2,Positive
546,Complete garbage. Stopped working after a week. Total scam.,0,Negative
547,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
548,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
549,Complete garbage. Stopped working after a week. Total scam.,0,Negative
550,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
551,"Brilliant product, delivered quickly, exactly as described.",2,Positive
552,Love it! Perfect for my needs. Will order more soon.,2,Positive
553,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
554,Love it! Perfect for my needs. Will order more soon.,2,Positive
555,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
556,Exceptional quality. Would highly recommend this to everyone.,2,Positive
557,Average experience overall. Product is usable but not impressive.,1,Neutral
558,It is alright. Does what it says. Not amazing but not bad.,1,Neutral
559,Best purchase I made this year. Highly recommend to everyone.,2,Positive
560,Incredible product! Far better than I expected. Five stars!,2,Positive
561,"Cheap materials, bad design. Would not recommend to anyone.",0,Negative
562,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
563,Love it! Perfect for my needs. Will order more soon.,2,Positive
564,Incredible product! Far better than I expected. Five stars!,2,Positive
565,Decent product. Shipping was fine. Nothing to complain about.,1,Neutral
566,"Product is okay, nothing special but does the job.",1,Neutral
567,Returned immediately. Completely useless and overpriced.,0,Negative
568,Super happy with my order. Everything arrived on time and works great.,2,Positive
569,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
570,Returned immediately. Completely useless and overpriced.,0,Negative
571,"Product is okay, nothing special but does the job.",1,Neutral
572,Outstanding customer service and the product is amazing.,2,Positive
573,Decent product. Shipping was fine. Nothing to complain about.,1,Neutral
574,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
575,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
576,Incredible product! Far better than I expected. Five stars!,2,Positive
577,"Great quality, fast delivery. Will definitely buy again!",2,Positive
578,Fine product. Does what it is supposed to. No issues.,1,Neutral
579,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
580,Love it! Perfect for my needs. Will order more soon.,2,Positive
581,Absolutely love this product! Works perfectly and exceeded my expectations.,2,Positive
582,"Great quality, fast delivery. Will definitely buy again!",2,Positive
583,Complete garbage. Stopped working after a week. Total scam.,0,Negative
584,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
585,Average quality. Expected more for the price but it works.,1,Neutral
586,"Great quality, fast delivery. Will definitely buy again!",2,Positive
587,Decent product. Shipping was fine. Nothing to complain about.,1,Neutral
588,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
589,Terrible product! Broke after one day of use. Complete waste of money.,0,Negative
590,"Product is okay, nothing special but does the job.",1,Neutral
591,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
592,"Okay product, reasonable price. Would not go out of my way to recommend.",1,Neutral
593,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
594,Incredible product! Far better than I expected. Five stars!,2,Positive
595,Outstanding customer service and the product is amazing.,2,Positive
596,Poor quality and customer service was unhelpful. Never buying again.,0,Negative
597,Total disappointment. Save your money and buy from someone else.,0,Negative
598,Satisfactory. Meets the basic requirements.,1,Neutral
599,Best purchase I made this year. Highly recommend to everyone.,2,Positive
600,Satisfactory. Meets the basic requirements.,1,Neutral
